timestamp,log_timestamp,Action_T_Rews,ActionNow,additionalData,ObservedReward,Context,ContextFeatures,ChosenArm
1733342119.596,1733342119.596,Stop Drawing,,{'duration': 292},0,medium,[0.5],0
1733342119.596,1733342119.596,Stop Drawing,,{'duration': 292},0,medium,[0.5],0
1733342121.484,1733342121.484,Start Drawing,,{},0,medium,[0.5],0
1733342121.993,1733342121.993,Continuous Drawing,,{'duration': 509},0,medium,[0.5],0
1733342122.49,1733342122.49,Continuous Drawing,,{'duration': 1006},0,medium,[0.5],0
1733342122.985,1733342122.985,Continuous Drawing,,{'duration': 1501},0,medium,[0.5],0
1733342123.21,1733342123.21,Stop Drawing,,{'duration': 1726},0,medium,[0.5],0
1733342119.304,1733342119.304,Start Drawing,,{},1,medium,[0.5],0
1733342123.21,1733342123.21,Start Drawing,,{},1,medium,[0.5],0
1733342125.356,1733342125.356,Changed Line Width,,{'lineWidth': 20},1,medium,[0.5],0
1733342129.281,1733342129.281,Changed Color,,{'color': '#0000ff'},1,medium,[0.5],0
1733342130.415,1733342130.415,Continuous Drawing,,{'duration': 503},1,medium,[0.5],0
1733342130.415,1733342130.415,Continuous Drawing,,{'duration': 503},1,medium,[0.5],0
1733342130.914,1733342130.914,Continuous Drawing,,{'duration': 1002},1,medium,[0.5],0
1733342130.955,1733342130.955,Stop Drawing,,{'duration': 1043},1,medium,[0.5],0
1733342131.481,1733342131.481,Start Drawing,,{},1,medium,[0.5],0
1733342131.984,1733342131.984,Continuous Drawing,,{'duration': 503},1,medium,[0.5],0
1733342132.484,1733342132.484,Continuous Drawing,,{'duration': 1003},1,medium,[0.5],0
1733342132.983,1733342132.983,Continuous Drawing,,{'duration': 1502},1,medium,[0.5],0
1733342133.167,1733342133.167,Stop Drawing,,{'duration': 1686},1,medium,[0.5],0
1733342134.189,1733342134.189,Start Drawing,,{},1,medium,[0.5],0
1733342134.618,1733342134.618,Stop Drawing,,{'duration': 429},1,medium,[0.5],0
1733342135.09,1733342135.09,Start Drawing,,{},1,medium,[0.5],0
1733342135.591,1733342135.591,Continuous Drawing,,{'duration': 501},1,medium,[0.5],0
1733342129.912,1733342129.912,Start Drawing,,{},1,medium,[0.5],0
1733342135.591,1733342135.591,Start Drawing,,{},1,medium,[0.5],0
1733342136.094,1733342136.094,Continuous Drawing,,{'duration': 1004},1,medium,[0.5],0
1733342136.592,1733342136.592,Continuous Drawing,,{'duration': 1502},1,medium,[0.5],0
1733342136.633,1733342136.633,Stop Drawing,,{'duration': 1543},1,medium,[0.5],0
1733342137.254,1733342137.254,Start Drawing,,{},1,medium,[0.5],0
1733342137.763,1733342137.763,Continuous Drawing,,{'duration': 509},1,medium,[0.5],0
1733342138.257,1733342138.257,Continuous Drawing,,{'duration': 1003},1,medium,[0.5],0
1733342138.451,1733342138.451,Stop Drawing,,{'duration': 1197},1,medium,[0.5],0
1733342139.068,1733342139.068,Start Drawing,,{},1,medium,[0.5],0
1733342139.569,1733342139.569,Continuous Drawing,,{'duration': 501},1,medium,[0.5],0
1733342140.57,1733342140.57,Continuous Drawing,,{'duration': 1502},1,medium,[0.5],1
1733342140.57,1733342140.57,Continuous Drawing,,{'duration': 1502},1,medium,[0.5],1
