timestamp,log_timestamp,Action_T_Rews,ActionNow,additionalData,ObservedReward,Context,ContextFeatures,ChosenArm
1733346913.141,1733346913.141,Changed Color,,{'color': '#ff0000'},1,high,[0.9],1
1733346913.141,1733346913.141,Changed Color,,{'color': '#ff0000'},1,high,[0.9],1
1733346921.132,1733346921.132,Changed Color,,{'color': '#ff00ff'},1,high,[0.9],1
1733346933.454,1733346933.454,Start Drawing,,{},1,high,[0.9],1
1733346933.454,1733346933.454,Start Drawing,,{},1,high,[0.9],1
1733346933.955,1733346933.955,Continuous Drawing,,{'duration': 501},1,high,[0.9],1
1733346934.456,1733346934.456,Continuous Drawing,,{'duration': 1002},1,high,[0.9],1
1733346934.955,1733346934.955,Continuous Drawing,,{'duration': 1501},1,high,[0.9],1
1733346935.456,1733346935.456,Continuous Drawing,,{'duration': 2002},1,high,[0.9],1
1733346935.97,1733346935.97,Continuous Drawing,,{'duration': 2516},1,high,[0.9],1
1733346936.404,1733346936.404,Stop Drawing,,{'duration': 2950},1,high,[0.9],1
1733346936.836,1733346936.836,Start Drawing,,{},1,high,[0.9],1
1733346937.344,1733346937.344,Continuous Drawing,,{'duration': 508},1,high,[0.9],1
1733346937.849,1733346937.849,Continuous Drawing,,{'duration': 1013},1,high,[0.9],1
1733346938.347,1733346938.347,Continuous Drawing,,{'duration': 1511},1,high,[0.9],1
1733346938.836,1733346938.836,Continuous Drawing,,{'duration': 2000},1,high,[0.9],1
1733346939.336,1733346939.336,Continuous Drawing,,{'duration': 2500},1,high,[0.9],1
1733346933.455,1733346933.455,Changed Color,,{'color': '#d411d4'},1,high,[0.9],1
1733346939.336,1733346939.336,Changed Color,,{'color': '#d411d4'},1,high,[0.9],1
1733346939.836,1733346939.836,Continuous Drawing,,{'duration': 3000},1,high,[0.9],1
1733346940.349,1733346940.349,Continuous Drawing,,{'duration': 3513},1,high,[0.9],1
1733346940.837,1733346940.837,Continuous Drawing,,{'duration': 4001},1,high,[0.9],1
