timestamp,action,interaction_value
1732314551.128,Reset Canvas,0
1732314560.151,Reset Canvas,0
1732314561.633,Reset Canvas,0
1732314562.612,Start Drawing,1
1732314563.248,Stop Drawing,0
1732314563.991,Start Drawing,1
1732314564.742,Stop Drawing,0
1732314566.137,Start Drawing,1
1732314567.437,Stop Drawing,0
1732314568.411,Start Drawing,1
1732314569.379,Stop Drawing,0
1732314570.551,Start Drawing,1
1732314571.634,Stop Drawing,0
1732314572.728,Start Drawing,1
1732314573.458,Stop Drawing,0
1732314574.635,Start Drawing,1
1732314576.107,Stop Drawing,0
1732314577.775,Start Drawing,1
1732314579.176,Stop Drawing,0
1732314581.156,Start Drawing,1
1732314582.509,Stop Drawing,0
1732314604.528,Start Drawing,1
1732314604.845,Stop Drawing,0
1732314605.315,Start Drawing,1
1732314605.886,Stop Drawing,0
1732314606.447,Start Drawing,1
1732314606.994,Stop Drawing,0
1732314607.461,Start Drawing,1
1732314607.907,Stop Drawing,0
1732314608.398,Start Drawing,1
1732314608.977,Stop Drawing,0
1732314609.221,Start Drawing,1
1732314609.231,Stop Drawing,0
1732314609.517,Start Drawing,1
1732314609.933,Stop Drawing,0
1732314610.522,Start Drawing,1
1732314611.731,Stop Drawing,0
1732314613.392,Changed Color to #ff0000,0
1732314614.011,Start Drawing,1
1732314614.456,Stop Drawing,0
1732314614.99,Start Drawing,1
1732314615.435,Stop Drawing,0
1732314615.917,Start Drawing,1
1732314616.298,Stop Drawing,0
1732314616.768,Start Drawing,1
1732314617.326,Stop Drawing,0
1732314617.779,Start Drawing,1
1732314618.182,Stop Drawing,0
1732314618.548,Start Drawing,1
1732314619.274,Stop Drawing,0
1732314620.551,Start Drawing,1
1732314620.677,Stop Drawing,0
1732314621.312,Start Drawing,1
1732314621.514,Stop Drawing,0
1732314621.986,Start Drawing,1
1732314622.62,Stop Drawing,0
1732314623.119,Start Drawing,1
1732314623.433,Stop Drawing,0
1732314623.923,Start Drawing,1
1732314624.218,Stop Drawing,0
1732314624.6,Start Drawing,1
1732314625.008,Stop Drawing,0
1732314625.246,Start Drawing,1
1732314625.802,Stop Drawing,0
1732314626.129,Start Drawing,1
1732314626.524,Stop Drawing,0
1732314626.789,Start Drawing,1
1732314627.242,Stop Drawing,0
1732314627.484,Start Drawing,1
1732314628.13,Stop Drawing,0
1732314628.495,Start Drawing,1
1732314629.927,Stop Drawing,0
1732314645.414,Start Drawing,1
1732314646.84,Stop Drawing,0
1732314647.307,Start Drawing,1
1732314647.747,Stop Drawing,0
1732314648.331,Start Drawing,1
1732314649.095,Stop Drawing,0
1732314649.576,Start Drawing,1
1732314649.746,Stop Drawing,0
1732314650.727,Start Drawing,1
1732314651.079,Stop Drawing,0
1732314651.909,Start Drawing,1
1732314652.193,Stop Drawing,0
1732314974.374,Start Drawing,1
1732314974.869,Stop Drawing,0
1732314976.503,Start Drawing,1
1732314977.168,Stop Drawing,0
1732314977.88,Start Drawing,1
1732314978.603,Stop Drawing,0
1732314979.157,Start Drawing,1
1732314979.68,Stop Drawing,0
1732314980.435,Start Drawing,1
1732314980.849,Stop Drawing,0
1732314982.702,Start Drawing,1
1732314983.285,Stop Drawing,0
1732314983.854,Start Drawing,1
1732314984.341,Stop Drawing,0
1732315065.163,Reset Canvas,0
1732315065.993,Start Drawing,1
1732315066.268,Stop Drawing,0
1732315067.721,Start Drawing,1
1732315068.1,Stop Drawing,0
1732315069.015,Start Drawing,1
1732315069.713,Stop Drawing,0
1732315070.426,Start Drawing,1
1732315070.998,Stop Drawing,0
1732315074.063,Start Drawing,1
1732315074.431,Stop Drawing,0
1732315075.872,Start Drawing,1
1732315076.433,Stop Drawing,0
1732315077.441,Start Drawing,1
1732315078.198,Stop Drawing,0
1732315086.647,Start Drawing,1
1732315086.968,Stop Drawing,0
1732315087.437,Start Drawing,1
1732315087.69,Stop Drawing,0
1732315088.406,Start Drawing,1
1732315089.071,Stop Drawing,0
1732315090.106,Start Drawing,1
1732315091.442,Stop Drawing,0
1732315092.16,Start Drawing,1
1732315093.013,Stop Drawing,0
1732315093.627,Start Drawing,1
1732315094.803,Stop Drawing,0
