timestamp,action,additionalData,ObservedReward,Context,ContextFeatures,ChosenArm,log_timestamp
1733264964.976,Stop Drawing,{'duration': 793},0,high,[0.9],0,1733264964.976
1733264964.976,Start Drawing,{},1,high,[0.9],0,1733264964.976
1733264967.405,Start Drawing,{},1,high,[0.9],0,1733264967.405
1733264969.184,Stop Drawing,{'duration': 1779},1,high,[0.9],0,1733264969.184
1733264969.885,Changed Line Width,{'lineWidth': 20},1,high,[0.9],0,1733264969.885
1733264972.135,Changed Color,{'color': '#0000ff'},1,high,[0.9],0,1733264972.135
1733264972.529,Start Drawing,{},1,high,[0.9],0,1733264972.529
1733264973.677,Stop Drawing,{'duration': 1148},1,high,[0.9],0,1733264973.677
1733264974.111,Start Drawing,{},1,high,[0.9],0,1733264974.111
1733264975.084,Stop Drawing,{'duration': 973},0,high,[0.9],0,1733264975.084
1733264976.057,Start Drawing,{},0,high,[0.9],0,1733264976.057
1733264977.728,Stop Drawing,{'duration': 1671},0,high,[0.9],0,1733264977.728
1733264981.191,Changed Color,{'color': '#ff00ff'},0,high,[0.9],0,1733264981.191
1733264983.035,Start Drawing,{},0,high,[0.9],0,1733264983.035
1733264983.561,Stop Drawing,{'duration': 526},0,high,[0.9],0,1733264983.561
