timestamp,action,reward_assignment,context,arm_selection,log_timestamp
1733175023.518,Start Drawing,1,high,1,1733175023.518
1733175023.576,Stop Drawing,0,medium,0,1733175023.576
1733175032.755,Start Drawing,1,medium,1,1733175032.755
1733175033.047,Stop Drawing,0,medium,1,1733175033.047
1733175036.917,Start Drawing,1,medium,0,1733175036.917
1733175037.551,Stop Drawing,0,medium,1,1733175037.551
1733175038.14,Start Drawing,1,medium,1,1733175038.14
1733175038.435,Stop Drawing,0,medium,0,1733175038.435
1733175038.999,Start Drawing,1,medium,1,1733175038.999
1733175039.325,Stop Drawing,0,medium,0,1733175039.325
1733175039.813,Start Drawing,1,medium,1,1733175039.813
1733175040.233,Stop Drawing,0,medium,0,1733175040.233
1733175040.668,Start Drawing,1,medium,0,1733175040.668
1733175040.945,Stop Drawing,0,medium,0,1733175040.945
1733175041.373,Start Drawing,1,medium,1,1733175041.373
1733175041.859,Stop Drawing,0,medium,0,1733175041.859
1733175042.228,Start Drawing,1,medium,0,1733175042.228
1733175042.67,Stop Drawing,0,medium,0,1733175042.67
1733175043.054,Start Drawing,1,medium,0,1733175043.054
1733175043.49,Stop Drawing,0,medium,1,1733175043.49
1733175043.849,Start Drawing,1,medium,0,1733175043.849
1733175044.288,Stop Drawing,0,medium,1,1733175044.288
1733175044.868,Start Drawing,1,medium,1,1733175044.868
1733175045.383,Stop Drawing,0,medium,1,1733175045.383
1733175045.732,Start Drawing,1,medium,0,1733175045.732
1733175046.259,Stop Drawing,0,medium,1,1733175046.259
1733175046.666,Start Drawing,1,medium,0,1733175046.666
1733175047.194,Stop Drawing,0,medium,1,1733175047.194
1733175047.493,Start Drawing,1,medium,0,1733175047.493
1733175048.459,Stop Drawing,0,medium,1,1733175048.459
1733175048.888,Start Drawing,1,medium,0,1733175048.888
1733175049.359,Stop Drawing,0,medium,1,1733175049.359
1733175049.73,Start Drawing,1,medium,1,1733175049.73
1733175050.186,Stop Drawing,0,medium,0,1733175050.186
1733175050.478,Start Drawing,1,medium,1,1733175050.478
1733175051.047,Stop Drawing,0,medium,1,1733175051.047
1733175051.263,Start Drawing,1,medium,1,1733175051.263
1733175051.782,Stop Drawing,0,medium,0,1733175051.782
1733175052.168,Start Drawing,1,medium,1,1733175052.168
1733175052.761,Stop Drawing,0,medium,0,1733175052.761
1733175053.067,Start Drawing,1,medium,0,1733175053.067
1733175053.667,Stop Drawing,0,medium,1,1733175053.667
1733175053.814,Start Drawing,1,medium,1,1733175053.814
1733175054.557,Stop Drawing,0,medium,0,1733175054.557
1733175054.871,Start Drawing,1,medium,0,1733175054.871
1733175055.32,Stop Drawing,0,medium,1,1733175055.32
1733175055.655,Start Drawing,1,medium,0,1733175055.655
1733175056.097,Stop Drawing,0,medium,1,1733175056.097
1733175056.354,Start Drawing,1,medium,0,1733175056.354
1733175056.902,Stop Drawing,0,medium,0,1733175056.902
1733175057.264,Start Drawing,1,medium,0,1733175057.264
1733175057.772,Stop Drawing,0,medium,0,1733175057.772
1733175058.078,Start Drawing,1,medium,1,1733175058.078
1733175058.477,Stop Drawing,0,medium,0,1733175058.477
1733175058.825,Start Drawing,1,medium,0,1733175058.825
1733175059.325,Stop Drawing,0,medium,0,1733175059.325
1733175059.693,Start Drawing,1,medium,1,1733175059.693
1733175060.067,Stop Drawing,0,medium,0,1733175060.067
1733175060.429,Start Drawing,1,medium,0,1733175060.429
1733175060.534,Stop Drawing,0,medium,1,1733175060.534
1733175060.687,Start Drawing,1,medium,0,1733175060.687
1733175060.784,Stop Drawing,0,medium,0,1733175060.784
1733175062.43,Changed Line Width,1,medium,0,1733175062.43
1733175064.401,Changed Color,1,medium,0,1733175064.401
1733175064.946,Start Drawing,1,medium,0,1733175064.946
1733175065.394,Stop Drawing,0,medium,1,1733175065.394
1733175065.873,Start Drawing,1,medium,0,1733175065.873
1733175066.322,Stop Drawing,0,medium,1,1733175066.322
1733175066.697,Start Drawing,1,medium,1,1733175066.697
1733175067.085,Stop Drawing,0,medium,0,1733175067.085
1733175067.492,Start Drawing,1,medium,1,1733175067.492
1733175067.94,Stop Drawing,0,medium,1,1733175067.94
