timestamp,action,reward_assignment,context,arm_selection,log_timestamp
1733188847.388,Start Drawing,0,high,0,1733188847.388
1733188848.24,Stop Drawing,0,medium,1,1733188848.24
1733188849.58,Start Drawing,0,medium,0,1733188849.58
1733188850.369,Stop Drawing,0,medium,1,1733188850.369
1733188851.658,Start Drawing,0,medium,1,1733188851.658
1733188853.575,Stop Drawing,0,medium,0,1733188853.575
1733188854.387,Start Drawing,0,medium,0,1733188854.387
1733188855.439,Stop Drawing,0,medium,1,1733188855.439
1733188856.078,Start Drawing,0,medium,0,1733188856.078
1733188856.616,Stop Drawing,0,medium,1,1733188856.616
1733188856.859,Start Drawing,0,medium,0,1733188856.859
1733188858.494,Stop Drawing,0,medium,1,1733188858.494
1733188859.128,Start Drawing,0,medium,0,1733188859.128
1733188860.171,Stop Drawing,0,medium,0,1733188860.171
1733188865.284,Changed Color,0,high,0,1733188865.284
1733188866.388,Stop Drawing,0,medium,1,1733188866.388
1733188866.984,Start Drawing,0,high,0,1733188866.984
1733188867.375,Stop Drawing,0,medium,1,1733188867.375
1733188867.917,Start Drawing,0,medium,0,1733188867.917
1733188867.917,Changed Line Width,0,medium,0,1733188867.917
1733188868.694,Stop Drawing,0,medium,0,1733188868.694
1733188870.666,Changed Color,0,medium,1,1733188870.666
1733188870.666,Start Drawing,0,medium,1,1733188870.666
1733188871.178,Start Drawing,0,medium,0,1733188871.178
1733188872.036,Stop Drawing,0,medium,0,1733188872.036
1733188872.441,Start Drawing,0,medium,0,1733188872.441
1733188873.06,Stop Drawing,0,medium,1,1733188873.06
1733188873.432,Start Drawing,0,medium,0,1733188873.432
1733188874.318,Stop Drawing,0,medium,0,1733188874.318
1733188874.681,Start Drawing,0,medium,0,1733188874.681
1733188875.234,Stop Drawing,0,medium,0,1733188875.234
1733188875.571,Start Drawing,0,medium,1,1733188875.571
1733188876.127,Stop Drawing,0,medium,0,1733188876.127
1733188876.717,Start Drawing,0,medium,1,1733188876.717
1733188877.332,Stop Drawing,0,medium,1,1733188877.332
1733188877.687,Start Drawing,0,medium,0,1733188877.687
1733188878.264,Stop Drawing,0,medium,0,1733188878.264
1733188879.184,Changed Line Width,0,medium,1,1733188879.184
1733188879.951,Start Drawing,0,medium,0,1733188879.951
1733188882.37,Changed Line Width,0,medium,1,1733188882.37
1733188884.99,Changed Color,0,medium,0,1733188884.99
1733188885.794,Start Drawing,0,high,0,1733188885.794
1733188885.794,Stop Drawing,0,high,0,1733188885.794
1733188886.398,Stop Drawing,0,medium,0,1733188886.398
