timestamp,action,interaction_value
1732573152.102,Reset Canvas,0
1732573152.699,Start Drawing,1
1732573153.292,Stop Drawing,0
1732573153.941,Start Drawing,1
1732573154.492,Stop Drawing,0
1732573154.99,Start Drawing,1
1732573155.535,Stop Drawing,0
1732573156.21,Start Drawing,1
1732573156.821,Stop Drawing,0
1732573157.229,Start Drawing,1
1732573157.728,Stop Drawing,0
1732573159.191,Start Drawing,1
1732573159.556,Stop Drawing,0
1732573160.074,Start Drawing,1
1732573160.602,Start Drawing,1
1732573161.131,Stop Drawing,0
1732573232.892,Start Drawing,1
1732573233.239,Stop Drawing,0
1732573233.769,Start Drawing,1
1732573234.269,Stop Drawing,0
1732573234.752,Start Drawing,1
1732573235.197,Stop Drawing,0
1732573235.576,Start Drawing,1
1732573236.029,Stop Drawing,0
1732573236.412,Start Drawing,1
1732573236.964,Stop Drawing,0
1732573237.362,Start Drawing,1
1732573237.82,Stop Drawing,0
1732573238.202,Start Drawing,1
1732573238.53,Stop Drawing,0
1732573248.89,Start Drawing,1
1732573249.278,Stop Drawing,0
1732573249.698,Start Drawing,1
1732573250.156,Stop Drawing,0
1732573250.531,Start Drawing,1
1732573251.006,Stop Drawing,0
1732573251.69,Start Drawing,1
1732573252.464,Stop Drawing,0
1732573252.916,Start Drawing,1
1732573253.399,Stop Drawing,0
1732573253.825,Start Drawing,1
1732573254.428,Stop Drawing,0
1732573254.775,Start Drawing,1
1732573255.385,Stop Drawing,0
1732573265.177,Changed Line Width to 9,0
