timestamp,action,reward_assignment,context,arm_selection,log_timestamp
1733189148.385,Changed Color,0,high,0,1733189148.385
1733189149.65,Start Drawing,0,high,0,1733189149.65
1733189150.3,Stop Drawing,0,medium,1,1733189150.3
1733189151.005,Start Drawing,0,medium,0,1733189151.005
1733189151.575,Stop Drawing,0,medium,0,1733189151.575
1733189152.34,Start Drawing,0,medium,1,1733189152.34
1733189152.992,Stop Drawing,0,medium,1,1733189152.992
1733189153.738,Start Drawing,0,medium,1,1733189153.738
1733189154.157,Stop Drawing,0,medium,1,1733189154.157
1733189154.724,Start Drawing,0,medium,0,1733189154.724
1733189154.907,Stop Drawing,0,medium,0,1733189154.907
1733189155.5,Start Drawing,0,medium,1,1733189155.5
1733189155.803,Stop Drawing,0,medium,0,1733189155.803
1733189156.318,Start Drawing,0,medium,1,1733189156.318
1733189157.26,Stop Drawing,0,medium,1,1733189157.26
1733189157.67,Start Drawing,0,medium,1,1733189157.67
1733189158.306,Stop Drawing,0,medium,1,1733189158.306
1733189158.965,Start Drawing,0,medium,0,1733189158.965
1733189159.226,Stop Drawing,0,medium,1,1733189159.226
1733189159.648,Start Drawing,0,medium,0,1733189159.648
1733189159.832,Stop Drawing,0,medium,0,1733189159.832
1733189162.028,Changed Line Width,0,medium,0,1733189162.028
1733189162.636,Start Drawing,0,medium,0,1733189162.636
1733189163.484,Stop Drawing,0,medium,0,1733189163.484
1733189167.57,Start Drawing,0,medium,0,1733189167.57
1733189168.473,Stop Drawing,0,medium,1,1733189168.473
1733189169.204,Changed Line Width,0,medium,1,1733189169.204
1733189171.051,Changed Color,0,medium,1,1733189171.051
1733189171.497,Start Drawing,0,high,1,1733189171.497
1733189172.222,Stop Drawing,0,medium,1,1733189172.222
1733189172.665,Start Drawing,0,medium,0,1733189172.665
1733189173.87,Stop Drawing,0,medium,1,1733189173.87
1733189174.316,Start Drawing,0,medium,1,1733189174.316
1733189175.182,Stop Drawing,0,medium,0,1733189175.182
1733189176.1,Changed Line Width,0,medium,0,1733189176.1
1733189176.142,Changed Line Width,0,medium,0,1733189176.142
1733189183.239,Changed Color,0,high,0,1733189183.239
1733189183.239,Start Drawing,0,high,0,1733189183.239
1733189186.153,Stop Drawing,0,medium,1,1733189186.153
1733189186.153,Changed Line Width,0,medium,1,1733189186.153
1733189188.044,Start Drawing,0,medium,0,1733189188.044
1733189189.36,Stop Drawing,0,medium,0,1733189189.36
