timestamp,action,additionalData,ObservedReward,Context,ContextFeatures,ChosenArm,log_timestamp
1733265772.478,Start Drawing,{},1,high,[0.9],0,1733265772.478
1733265773.287,Stop Drawing,{'duration': 809},1,high,[0.9],0,1733265773.287
1733265777.76,Changed Color,{'color': '#ff00ff'},1,high,[0.9],0,1733265777.76
1733265778.196,Start Drawing,{},1,high,[0.9],0,1733265778.196
1733265779.946,Stop Drawing,{'duration': 1750},1,high,[0.9],0,1733265779.946
1733265782.383,Changed Color,{'color': '#ff0000'},1,high,[0.9],0,1733265782.383
1733265785.396,Stop Drawing,{'duration': 2359},0,high,[0.9],0,1733265785.396
1733265786.226,Changed Line Width,{'lineWidth': 18},0,high,[0.9],0,1733265786.226
1733265786.226,Start Drawing,{},1,high,[0.9],0,1733265786.226
1733265789.134,Start Drawing,{},1,high,[0.9],0,1733265789.134
1733265790.885,Stop Drawing,{'duration': 1751},1,high,[0.9],0,1733265790.885
1733265791.589,Changed Line Width,{'lineWidth': 15},1,high,[0.9],0,1733265791.589
1733265794.239,Start Drawing,{},1,medium,[0.5],1,1733265794.239
1733265795.539,Stop Drawing,{'duration': 1300},1,medium,[0.5],1,1733265795.539
1733265796.466,Changed Line Width,{'lineWidth': 11},1,medium,[0.5],1,1733265796.466
1733265797.555,Start Drawing,{},1,medium,[0.5],1,1733265797.555
1733265797.95,Stop Drawing,{'duration': 395},1,medium,[0.5],1,1733265797.95
1733265797.95,Changed Color,{'color': '#4a86e8'},1,medium,[0.5],1,1733265797.95
1733265800.323,Changed Color,{'color': '#00ff00'},1,medium,[0.5],1,1733265800.323
1733265802.066,Reset Canvas,{'resetCount': 1},1,medium,[0.5],1,1733265802.066
1733265802.632,Start Drawing,{},1,medium,[0.5],1,1733265802.632
1733265802.966,Stop Drawing,{'duration': 334},1,medium,[0.5],1,1733265802.966
1733265804.972,Stop Drawing,{'duration': 252},0,high,[0.9],1,1733265804.972
1733265807.488,Start Drawing,{},0,high,[0.9],1,1733265807.488
1733265807.881,Stop Drawing,{'duration': 393},0,high,[0.9],1,1733265807.881
1733265808.822,Reset Canvas,{'resetCount': 2},0,high,[0.9],1,1733265808.822
1733265809.799,Start Drawing,{},0,high,[0.9],1,1733265809.799
1733265810.378,Stop Drawing,{'duration': 579},0,high,[0.9],1,1733265810.378
1733265810.378,Start Drawing,{},1,high,[0.9],1,1733265810.378
1733265811.037,Start Drawing,{},1,high,[0.9],1,1733265811.037
1733265811.56,Stop Drawing,{'duration': 523},1,high,[0.9],1,1733265811.56
1733265812.658,Start Drawing,{},1,high,[0.9],1,1733265812.658
1733265812.999,Stop Drawing,{'duration': 341},1,high,[0.9],1,1733265812.999
1733265814.327,Start Drawing,{},1,high,[0.9],1,1733265814.327
1733265817.438,Start Drawing,{},1,medium,[0.5],1,1733265817.438
1733265819.402,Stop Drawing,{'duration': 1964},1,medium,[0.5],1,1733265819.402
1733265820.322,Changed Line Width,{'lineWidth': 17},1,medium,[0.5],1,1733265820.322
1733265820.322,Stop Drawing,{'duration': 431},0,medium,[0.5],1,1733265820.322
1733265823.105,Changed Color,{'color': '#00ffff'},0,medium,[0.5],1,1733265823.105
1733265823.614,Start Drawing,{},0,medium,[0.5],1,1733265823.614
1733265827.95,Stop Drawing,{'duration': 4336},0,high,[0.9],0,1733265827.95
1733265829.474,Start Drawing,{},0,high,[0.9],0,1733265829.474
1733265833.64,Stop Drawing,{'duration': 4166},0,high,[0.9],0,1733265833.64
