timestamp,action,interaction_value
1732648556.003,Start Drawing,1
1732648556.003,Start Drawing,1
1732648556.003,Start Drawing,1
1732648556.415,Stop Drawing,0
1732648556.415,Stop Drawing,0
1732648556.415,Stop Drawing,0
1732648557.473,Start Drawing,1
1732648557.473,Start Drawing,1
1732648558.4,Stop Drawing,0
1732648558.4,Stop Drawing,0
1732648560.243,Start Drawing,1
1732648560.243,Start Drawing,1
1732648560.838,Stop Drawing,0
1732648560.838,Stop Drawing,0
1732648561.712,Changed Line Width to 19,0
1732648561.712,Changed Line Width to 19,0
1732648562.866,Start Drawing,1
1732648562.866,Start Drawing,1
1732648563.693,Stop Drawing,0
1732648563.693,Stop Drawing,0
1732648564.37,Start Drawing,1
1732648564.37,Start Drawing,1
1732648565.087,Stop Drawing,0
1732648565.087,Stop Drawing,0
1732648565.837,Start Drawing,1
1732648565.837,Start Drawing,1
1732648566.619,Stop Drawing,0
1732648566.619,Stop Drawing,0
1732648567.16,Start Drawing,1
1732648567.16,Start Drawing,1
1732648567.826,Stop Drawing,0
1732648567.826,Stop Drawing,0
1732648568.633,Start Drawing,1
1732648568.633,Start Drawing,1
1732648569.271,Stop Drawing,0
1732648569.271,Stop Drawing,0
1732648569.891,Start Drawing,1
1732648569.891,Start Drawing,1
1732648570.817,Stop Drawing,0
1732648570.817,Stop Drawing,0
1732648571.674,Start Drawing,1
1732648571.674,Start Drawing,1
1732648571.674,Start Drawing,1
1732648572.234,Stop Drawing,0
1732648572.234,Stop Drawing,0
1732648572.234,Stop Drawing,0
1732648574.694,Changed Color to #ff9900,0
1732648574.694,Changed Color to #ff9900,0
1732648575.292,Start Drawing,1
1732648575.292,Start Drawing,1
1732648575.873,Stop Drawing,0
1732648575.873,Stop Drawing,0
1732648576.509,Start Drawing,1
1732648576.509,Start Drawing,1
1732648576.995,Stop Drawing,0
1732648576.995,Stop Drawing,0
1732648577.6,Start Drawing,1
1732648577.6,Start Drawing,1
1732648578.102,Stop Drawing,0
1732648578.102,Stop Drawing,0
1732648578.995,Start Drawing,1
1732648578.995,Start Drawing,1
1732648579.496,Stop Drawing,0
1732648579.496,Stop Drawing,0
1732648580.095,Start Drawing,1
1732648580.095,Start Drawing,1
1732648580.77,Stop Drawing,0
1732648580.77,Stop Drawing,0
1732648581.396,Start Drawing,1
1732648581.396,Start Drawing,1
1732648581.957,Stop Drawing,0
1732648581.957,Stop Drawing,0
1732648582.533,Start Drawing,1
1732648582.533,Start Drawing,1
1732648583.135,Stop Drawing,0
1732648583.135,Stop Drawing,0
1732648583.727,Start Drawing,1
1732648583.727,Start Drawing,1
1732648584.573,Stop Drawing,0
1732648584.573,Stop Drawing,0
1732648585.258,Start Drawing,1
1732648585.258,Start Drawing,1
1732648585.558,Stop Drawing,0
1732648585.558,Stop Drawing,0
1732648588.097,Changed Color to #404040,0
1732648588.097,Changed Color to #404040,0
1732648588.097,Changed Color to #404040,0
1732648590.617,Changed Color to #9900ff,0
1732648590.617,Changed Color to #9900ff,0
1732648591.062,Start Drawing,1
1732648591.062,Start Drawing,1
1732648591.59,Stop Drawing,0
1732648591.59,Stop Drawing,0
1732648592.334,Start Drawing,1
1732648592.334,Start Drawing,1
1732648593.237,Stop Drawing,0
1732648593.237,Stop Drawing,0
1732648594.197,Start Drawing,1
1732648594.197,Start Drawing,1
1732648594.655,Stop Drawing,0
1732648594.655,Stop Drawing,0
1732648595.318,Start Drawing,1
1732648595.318,Start Drawing,1
1732648595.906,Stop Drawing,0
1732648595.906,Stop Drawing,0
1732648596.584,Start Drawing,1
1732648596.584,Start Drawing,1
1732648597.282,Stop Drawing,0
1732648597.282,Stop Drawing,0
1732648597.793,Start Drawing,1
1732648597.793,Start Drawing,1
1732648598.401,Stop Drawing,0
1732648598.401,Stop Drawing,0
1732648598.985,Start Drawing,1
1732648598.985,Start Drawing,1
1732648599.492,Stop Drawing,0
1732648599.492,Stop Drawing,0
1732648600.252,Start Drawing,1
1732648600.252,Start Drawing,1
1732648600.704,Stop Drawing,0
1732648600.704,Stop Drawing,0
1732648603.066,Switched to Erase,1
1732648603.066,Switched to Erase,1
1732648603.518,Start Drawing,1
1732648603.518,Start Drawing,1
1732648603.518,Start Drawing,1
1732648603.843,Stop Drawing,0
1732648603.843,Stop Drawing,0
1732648603.843,Stop Drawing,0
1732648604.335,Start Drawing,1
1732648604.335,Start Drawing,1
1732648604.68,Stop Drawing,0
1732648604.68,Stop Drawing,0
1732648605.406,Start Drawing,1
1732648605.406,Start Drawing,1
1732648607.132,Stop Drawing,0
1732648607.132,Stop Drawing,0
1732648607.85,Start Drawing,1
1732648607.85,Start Drawing,1
1732648608.534,Stop Drawing,0
1732648608.534,Stop Drawing,0
1732648608.686,Start Drawing,1
1732648608.686,Start Drawing,1
1732648608.797,Stop Drawing,0
1732648608.797,Stop Drawing,0
1732648609.332,Start Drawing,1
1732648609.332,Start Drawing,1
1732648609.686,Stop Drawing,0
1732648609.686,Stop Drawing,0
1732648610.189,Start Drawing,1
1732648610.189,Start Drawing,1
1732648611.05,Stop Drawing,0
1732648611.05,Stop Drawing,0
1732648611.646,Start Drawing,1
1732648611.646,Start Drawing,1
1732648612.238,Stop Drawing,0
1732648612.238,Stop Drawing,0
1732648612.985,Start Drawing,1
1732648612.985,Start Drawing,1
1732648613.404,Stop Drawing,0
1732648613.404,Stop Drawing,0
1732648613.884,Start Drawing,1
1732648613.884,Start Drawing,1
1732648614.373,Stop Drawing,0
1732648614.373,Stop Drawing,0
1732648614.673,Start Drawing,1
1732648614.673,Start Drawing,1
1732648615.276,Stop Drawing,0
1732648615.276,Stop Drawing,0
1732648615.869,Start Drawing,1
1732648615.869,Start Drawing,1
1732648617.3,Stop Drawing,0
1732648617.3,Stop Drawing,0
1732648617.952,Start Drawing,1
1732648617.952,Start Drawing,1
1732648619.284,Stop Drawing,0
