timestamp,action,additionalData,ObservedReward,Context,ContextFeatures,ChosenArm,log_timestamp
1733265115.919,Stop Drawing,{'duration': 694},0,high,[0.9],1,1733265115.919
1733265119.56,Start Drawing,{},0,high,[0.9],1,1733265119.56
1733265120.491,Stop Drawing,{'duration': 931},0,high,[0.9],1,1733265120.491
1733265121.02,Start Drawing,{},0,high,[0.9],1,1733265121.02
1733265121.02,Start Drawing,{},1,high,[0.9],1,1733265121.02
1733265121.981,Stop Drawing,{'duration': 961},1,high,[0.9],1,1733265121.981
1733265122.896,Changed Line Width,{'lineWidth': 20},1,high,[0.9],1,1733265122.896
1733265123.003,Changed Line Width,{'lineWidth': 19},1,high,[0.9],1,1733265123.003
1733265124.59,Changed Color,{'color': '#ff00ff'},1,high,[0.9],1,1733265124.59
1733265124.992,Start Drawing,{},1,high,[0.9],1,1733265124.992
1733265126.457,Start Drawing,{},1,medium,[0.5],1,1733265126.457
1733265126.457,Stop Drawing,{'duration': 933},0,medium,[0.5],1,1733265126.457
1733265128.677,Stop Drawing,{'duration': 2220},0,medium,[0.5],1,1733265128.677
1733265130.596,Changed Line Width,{'lineWidth': 14},0,medium,[0.5],1,1733265130.596
1733265131.612,Changed Line Width,{'lineWidth': 5},0,medium,[0.5],1,1733265131.612
1733265132.434,Start Drawing,{},0,medium,[0.5],1,1733265132.434
1733265133.1,Stop Drawing,{'duration': 666},0,medium,[0.5],1,1733265133.1
1733265135.3,Changed Color,{'color': '#000000'},0,medium,[0.5],1,1733265135.3
1733265138.817,Changed Color,{'color': '#9900ff'},1,high,[0.9],1,1733265138.817
1733265139.529,Start Drawing,{},1,high,[0.9],1,1733265139.529
1733265141.355,Stop Drawing,{'duration': 1826},1,high,[0.9],1,1733265141.355
1733265141.355,Changed Line Width,{'lineWidth': 21},1,high,[0.9],1,1733265141.355
1733265144.281,Changed Color,{'color': '#980000'},1,high,[0.9],1,1733265144.281
1733265145.617,Changed Color,{'color': '#00ffff'},1,high,[0.9],1,1733265145.617
1733265146.093,Start Drawing,{},1,high,[0.9],1,1733265146.093
1733265150.521,Changed Color,{'color': '#000000'},1,medium,[0.5],1,1733265150.521
1733265151.108,Start Drawing,{},1,medium,[0.5],1,1733265151.108
1733265152.151,Stop Drawing,{'duration': 1043},1,medium,[0.5],1,1733265152.151
1733265152.151,Stop Drawing,{'duration': 1676},0,medium,[0.5],1,1733265152.151
1733265154.248,Start Drawing,{},0,medium,[0.5],1,1733265154.248
1733265154.991,Stop Drawing,{'duration': 743},0,medium,[0.5],1,1733265154.991
1733265155.347,Start Drawing,{},0,medium,[0.5],1,1733265155.347
1733265156.326,Stop Drawing,{'duration': 979},0,medium,[0.5],1,1733265156.326
1733265159.614,Changed Color,{'color': '#4a86e8'},1,medium,[0.5],0,1733265159.614
1733265160.334,Start Drawing,{},1,medium,[0.5],0,1733265160.334
1733265162.645,Stop Drawing,{'duration': 2311},1,medium,[0.5],0,1733265162.645
1733265165.454,Changed Color,{'color': '#ffff00'},1,medium,[0.5],0,1733265165.454
1733265165.843,Start Drawing,{},1,medium,[0.5],0,1733265165.843
1733265168.265,Stop Drawing,{'duration': 2422},1,medium,[0.5],0,1733265168.265
1733265169.162,Start Drawing,{},1,medium,[0.5],0,1733265169.162
1733265171.165,Stop Drawing,{'duration': 2003},0,high,[0.9],0,1733265171.165
1733265174.331,Changed Color,{'color': '#00ff00'},0,high,[0.9],0,1733265174.331
1733265175.121,Start Drawing,{},0,high,[0.9],0,1733265175.121
1733265177.347,Stop Drawing,{'duration': 2226},0,high,[0.9],0,1733265177.347
1733265177.96,Start Drawing,{},0,high,[0.9],0,1733265177.96
1733265180.103,Stop Drawing,{'duration': 2143},0,high,[0.9],0,1733265180.103
1733265180.718,Start Drawing,{},0,high,[0.9],0,1733265180.718
1733265183.583,Start Drawing,{},1,medium,[0.5],1,1733265183.583
1733265183.583,Stop Drawing,{'duration': 2301},0,medium,[0.5],1,1733265183.583
1733265191.395,Stop Drawing,{'duration': 7812},0,medium,[0.5],1,1733265191.395
1733265193.61,Start Drawing,{},1,medium,[0.5],0,1733265193.61
1733265196.756,Stop Drawing,{'duration': 3146},1,medium,[0.5],0,1733265196.756
1733265196.756,Changed Color,{'color': '#ff00ff'},1,medium,[0.5],0,1733265196.756
1733265199.747,Start Drawing,{},1,medium,[0.5],0,1733265199.747
1733265201.389,Stop Drawing,{'duration': 1642},1,medium,[0.5],0,1733265201.389
