timestamp,action,additionalData,ObservedReward,Context,ContextFeatures,ChosenArm,log_timestamp
1733268640.441,Continuous Drawing,{'duration': 1004},1,high,[0.9],0,1733268640.441
1733268641.446,Continuous Drawing,{'duration': 2009},1,high,[0.9],0,1733268641.446
1733268641.883,Stop Drawing,{'duration': 2446},1,high,[0.9],0,1733268641.883
1733268644.968,Changed Line Width,{'lineWidth': 15},1,high,[0.9],0,1733268644.968
1733268644.968,Start Drawing,{},1,high,[0.9],0,1733268644.968
1733268646.819,Changed Color,{'color': '#9900ff'},1,high,[0.9],0,1733268646.819
1733268647.586,Start Drawing,{},1,high,[0.9],0,1733268647.586
1733268648.588,Continuous Drawing,{'duration': 1002},1,high,[0.9],0,1733268648.588
1733268648.768,Stop Drawing,{'duration': 1182},1,high,[0.9],0,1733268648.768
1733268649.682,Start Drawing,{},1,medium,[0.5],0,1733268649.682
1733268650.684,Continuous Drawing,{'duration': 1002},1,medium,[0.5],0,1733268650.684
1733268650.717,Stop Drawing,{'duration': 1035},1,medium,[0.5],0,1733268650.717
1733268652.0,Changed Line Width,{'lineWidth': 20},1,medium,[0.5],0,1733268652.0
1733268677.137,Stop Drawing,{'duration': 155},0,low,[0.1],0,1733268677.137
1733268677.137,Start Drawing,{},1,low,[0.1],0,1733268677.137
1733268702.256,Stop Drawing,{'duration': 314},0,low,[0.1],1,1733268702.256
1733268702.256,Start Drawing,{},1,low,[0.1],1,1733268702.256
1733268706.888,Changed Line Width,{'lineWidth': 14},1,low,[0.1],1,1733268706.888
1733268709.931,Start Drawing,{},1,low,[0.1],1,1733268709.931
1733268710.934,Continuous Drawing,{'duration': 1003},1,low,[0.1],1,1733268710.934
1733268711.933,Continuous Drawing,{'duration': 2002},1,low,[0.1],1,1733268711.933
1733268712.937,Continuous Drawing,{'duration': 3005},1,high,[0.9],0,1733268712.937
1733268713.934,Continuous Drawing,{'duration': 4002},1,high,[0.9],0,1733268713.934
1733268714.933,Continuous Drawing,{'duration': 5002},1,high,[0.9],0,1733268714.933
1733268716.422,Stop Drawing,{'duration': 6491},1,high,[0.9],0,1733268716.422
1733268718.674,Start Drawing,{},1,high,[0.9],0,1733268718.674
1733268718.907,Stop Drawing,{'duration': 233},1,high,[0.9],0,1733268718.907
1733268721.164,Start Drawing,{},1,high,[0.9],0,1733268721.164
