timestamp,action,additionalData,ObservedReward,Context,ContextFeatures,ChosenArm,log_timestamp
1733266079.905,Stop Drawing,{'duration': 896},0,medium,[0.5],0,1733266079.905
1733266079.905,Start Drawing,{},1,medium,[0.5],0,1733266079.905
1733266083.487,Changed Line Width,{'lineWidth': 18},1,medium,[0.5],0,1733266083.487
1733266087.004,Changed Color,{'color': '#0000ff'},1,medium,[0.5],0,1733266087.004
1733266087.339,Start Drawing,{},1,medium,[0.5],0,1733266087.339
1733266088.497,Stop Drawing,{'duration': 1158},1,medium,[0.5],0,1733266088.497
1733266090.415,Stop Drawing,{'duration': 1176},0,medium,[0.5],0,1733266090.415
1733266092.197,Start Drawing,{},0,medium,[0.5],0,1733266092.197
1733266094.074,Stop Drawing,{'duration': 1877},0,medium,[0.5],0,1733266094.074
1733266094.639,Start Drawing,{},0,medium,[0.5],0,1733266094.639
1733266094.639,Start Drawing,{},1,medium,[0.5],0,1733266094.639
1733266096.086,Stop Drawing,{'duration': 1447},1,medium,[0.5],0,1733266096.086
1733266097.13,Start Drawing,{},1,medium,[0.5],0,1733266097.13
1733266098.459,Stop Drawing,{'duration': 1329},1,medium,[0.5],0,1733266098.459
1733266102.625,Start Drawing,{},1,high,[0.9],0,1733266102.625
1733266104.392,Stop Drawing,{'duration': 1767},1,high,[0.9],0,1733266104.392
1733266105.058,Start Drawing,{},1,high,[0.9],0,1733266105.058
1733266106.788,Stop Drawing,{'duration': 1730},1,high,[0.9],0,1733266106.788
1733266107.572,Start Drawing,{},1,high,[0.9],0,1733266107.572
1733266107.572,Changed Color,{'color': '#ff0000'},1,high,[0.9],0,1733266107.572
1733266108.304,Stop Drawing,{'duration': 732},1,high,[0.9],0,1733266108.304
1733266110.893,Changed Color,{'color': '#ffffff'},1,high,[0.9],0,1733266110.893
1733266111.204,Start Drawing,{},1,high,[0.9],0,1733266111.204
1733266113.339,Changed Line Width,{'lineWidth': 14},1,medium,[0.5],1,1733266113.339
1733266114.989,Changed Color,{'color': '#00ffff'},1,medium,[0.5],1,1733266114.989
1733266115.451,Start Drawing,{},1,medium,[0.5],1,1733266115.451
1733266115.451,Stop Drawing,{'duration': 1141},0,medium,[0.5],1,1733266115.451
1733266119.808,Stop Drawing,{'duration': 4357},0,medium,[0.5],1,1733266119.808
1733266120.614,Changed Line Width,{'lineWidth': 17},0,medium,[0.5],1,1733266120.614
1733266120.626,Changed Line Width,{'lineWidth': 18},0,medium,[0.5],1,1733266120.626
1733266122.205,Changed Color,{'color': '#000000'},0,medium,[0.5],1,1733266122.205
1733266122.554,Start Drawing,{},1,high,[0.9],0,1733266122.554
1733266123.769,Stop Drawing,{'duration': 1215},1,high,[0.9],0,1733266123.769
1733266124.117,Start Drawing,{},1,high,[0.9],0,1733266124.117
1733266128.01,Stop Drawing,{'duration': 3893},1,high,[0.9],0,1733266128.01
1733266128.761,Reset Canvas,{'resetCount': 1},1,high,[0.9],0,1733266128.761
1733266130.467,Changed Color,{'color': '#0000ff'},1,high,[0.9],0,1733266130.467
1733266130.759,Start Drawing,{},1,high,[0.9],0,1733266130.759
1733266131.172,Stop Drawing,{'duration': 413},1,high,[0.9],0,1733266131.172
1733266133.986,Start Drawing,{},1,high,[0.9],0,1733266133.986
1733266133.986,Changed Color,{'color': '#ffff00'},1,high,[0.9],0,1733266133.986
1733266134.511,Stop Drawing,{'duration': 525},1,high,[0.9],0,1733266134.511
