timestamp,action,reward_assignment,context,arm_selection,log_timestamp
1733187674.65,Start Drawing,0,high,0,1733187674.65
1733187675.148,Stop Drawing,0,medium,0,1733187675.148
1733187675.824,Start Drawing,0,medium,0,1733187675.824
1733187676.498,Stop Drawing,0,medium,1,1733187676.498
1733187677.092,Start Drawing,0,medium,0,1733187677.092
1733187677.488,Stop Drawing,0,medium,1,1733187677.488
1733187678.004,Start Drawing,0,medium,1,1733187678.004
1733187678.52,Stop Drawing,0,medium,1,1733187678.52
1733187679.033,Start Drawing,0,medium,1,1733187679.033
1733187679.641,Stop Drawing,0,medium,1,1733187679.641
1733187680.093,Start Drawing,0,medium,0,1733187680.093
1733187680.274,Stop Drawing,0,medium,0,1733187680.274
1733187682.299,Changed Line Width,0,medium,0,1733187682.299
1733187684.792,Changed Color,0,medium,0,1733187684.792
1733187685.44,Start Drawing,0,high,0,1733187685.44
1733187685.959,Stop Drawing,0,medium,1,1733187685.959
1733187686.754,Start Drawing,0,high,1,1733187686.754
1733187687.258,Stop Drawing,0,medium,0,1733187687.258
1733187687.691,Start Drawing,0,medium,1,1733187687.691
1733187688.021,Stop Drawing,0,medium,1,1733187688.021
1733187688.648,Start Drawing,0,medium,0,1733187688.648
1733187688.931,Stop Drawing,0,medium,1,1733187688.931
1733187689.322,Start Drawing,0,medium,0,1733187689.322
1733187689.688,Stop Drawing,0,medium,0,1733187689.688
1733187690.065,Start Drawing,0,medium,1,1733187690.065
1733187690.43,Stop Drawing,0,medium,1,1733187690.43
1733187691.027,Start Drawing,0,medium,1,1733187691.027
1733187691.504,Stop Drawing,0,medium,0,1733187691.504
1733187692.527,Start Drawing,0,medium,0,1733187692.527
1733187692.864,Stop Drawing,0,medium,0,1733187692.864
1733187693.298,Start Drawing,0,medium,0,1733187693.298
1733187693.833,Stop Drawing,0,medium,0,1733187693.833
1733187694.455,Start Drawing,0,medium,1,1733187694.455
1733187694.895,Stop Drawing,0,medium,0,1733187694.895
1733187695.227,Start Drawing,0,medium,1,1733187695.227
1733187695.44,Stop Drawing,0,medium,0,1733187695.44
