timestamp,action,additionalData,ObservedReward,Context,ContextFeatures,ChosenArm,log_timestamp
1733267876.25,Stop Drawing,{'duration': 869},0,low,[0.1],0,1733267876.25
1733267878.554,Start Drawing,{},0,low,[0.1],0,1733267878.554
1733267879.389,Continuous Drawing,{'duration': 835},0,low,[0.1],0,1733267879.389
1733267879.558,Continuous Drawing,{'duration': 1004},0,low,[0.1],0,1733267879.558
1733267880.385,Continuous Drawing,{'duration': 1831},0,low,[0.1],0,1733267880.385
1733267880.556,Continuous Drawing,{'duration': 2002},0,low,[0.1],0,1733267880.556
1733267880.556,Start Drawing,{},1,low,[0.1],0,1733267880.556
1733267881.392,Continuous Drawing,{'duration': 2838},1,low,[0.1],0,1733267881.392
1733267881.557,Continuous Drawing,{'duration': 3003},1,low,[0.1],0,1733267881.557
1733267881.596,Stop Drawing,{'duration': 3042},1,low,[0.1],0,1733267881.596
1733267882.463,Changed Line Width,{'lineWidth': 19},1,low,[0.1],0,1733267882.463
1733267884.514,Changed Color,{'color': '#0000ff'},1,low,[0.1],0,1733267884.514
1733267885.154,Start Drawing,{},1,low,[0.1],0,1733267885.154
1733267885.558,Continuous Drawing,{'duration': 403},1,high,[0.9],1,1733267885.558
1733267885.558,Continuous Drawing,{'duration': 237},1,high,[0.9],1,1733267885.558
1733267886.16,Continuous Drawing,{'duration': 1006},1,high,[0.9],1,1733267886.16
1733267886.282,Stop Drawing,{'duration': 1128},1,high,[0.9],1,1733267886.282
1733267892.896,Start Drawing,{},1,high,[0.9],1,1733267892.896
1733267893.158,Continuous Drawing,{'duration': 262},1,high,[0.9],1,1733267893.158
1733267893.395,Continuous Drawing,{'duration': 499},1,high,[0.9],1,1733267893.395
1733267893.56,Continuous Drawing,{'duration': 664},1,high,[0.9],1,1733267893.56
1733267893.902,Continuous Drawing,{'duration': 1006},1,high,[0.9],1,1733267893.902
1733267894.16,Continuous Drawing,{'duration': 1264},1,high,[0.9],1,1733267894.16
1733267894.384,Continuous Drawing,{'duration': 1488},1,high,[0.9],1,1733267894.384
1733267894.56,Continuous Drawing,{'duration': 1664},1,high,[0.9],1,1733267894.56
1733267894.901,Continuous Drawing,{'duration': 2005},1,high,[0.9],1,1733267894.901
1733267895.014,Stop Drawing,{'duration': 2118},1,high,[0.9],1,1733267895.014
1733267895.897,Continuous Drawing,{'duration': 307},1,high,[0.9],1,1733267895.897
1733267896.162,Continuous Drawing,{'duration': 572},1,high,[0.9],1,1733267896.162
1733267896.393,Continuous Drawing,{'duration': 803},1,high,[0.9],1,1733267896.393
1733267896.56,Continuous Drawing,{'duration': 970},1,high,[0.9],1,1733267896.56
1733267896.592,Continuous Drawing,{'duration': 1002},1,high,[0.9],1,1733267896.592
1733267896.729,Stop Drawing,{'duration': 1139},1,high,[0.9],1,1733267896.729
1733267897.535,Changed Line Width,{'lineWidth': 14},1,high,[0.9],1,1733267897.535
1733267899.769,Changed Color,{'color': '#9900ff'},1,high,[0.9],1,1733267899.769
1733267900.208,Start Drawing,{},1,high,[0.9],1,1733267900.208
1733267900.389,Continuous Drawing,{'duration': 181},1,high,[0.9],1,1733267900.389
1733267900.562,Continuous Drawing,{'duration': 354},1,high,[0.9],1,1733267900.562
1733267900.599,Continuous Drawing,{'duration': 391},1,high,[0.9],1,1733267900.599
1733267900.898,Continuous Drawing,{'duration': 690},1,high,[0.9],1,1733267900.898
1733267901.157,Continuous Drawing,{'duration': 949},1,high,[0.9],1,1733267901.157
1733267901.214,Continuous Drawing,{'duration': 1006},1,high,[0.9],1,1733267901.214
