timestamp,action,additionalData,reward_assignment,context,arm_selection,log_timestamp
1733251357.443,Start Drawing,{},1,medium,1,1733251357.443
1733251358.78,Stop Drawing,{'duration': 1337},1,medium,1,1733251358.78
1733251358.78,Stop Drawing,{'duration': 637},0,medium,1,1733251358.78
1733251360.489,Start Drawing,{},0,medium,1,1733251360.489
1733251361.362,Stop Drawing,{'duration': 873},0,medium,1,1733251361.362
1733251361.362,Start Drawing,{},1,medium,1,1733251361.362
1733251364.84,Changed Color,{'color': '#ff9900'},1,medium,1,1733251364.84
1733251365.317,Changed Line Width,{'lineWidth': 18},1,medium,1,1733251365.317
1733251366.34,Start Drawing,{},1,medium,1,1733251366.34
1733251367.033,Stop Drawing,{'duration': 693},1,medium,1,1733251367.033
1733251370.372,Stop Drawing,{'duration': 1087},0,medium,0,1733251370.372
1733251370.372,Start Drawing,{},1,medium,0,1733251370.372
1733251370.372,Stop Drawing,{'duration': 417},0,medium,0,1733251370.372
1733251373.75,Changed Color,{'color': '#980000'},0,medium,0,1733251373.75
1733251374.333,Start Drawing,{},0,medium,0,1733251374.333
1733251374.333,Start Drawing,{},1,medium,0,1733251374.333
1733251375.508,Stop Drawing,{'duration': 1175},1,medium,0,1733251375.508
1733251376.055,Start Drawing,{},1,medium,0,1733251376.055
1733251376.848,Stop Drawing,{'duration': 793},1,medium,0,1733251376.848
1733251377.445,Start Drawing,{},1,medium,0,1733251377.445
1733251378.22,Stop Drawing,{'duration': 775},1,medium,0,1733251378.22
1733251378.699,Start Drawing,{},1,medium,0,1733251378.699
1733251380.076,Stop Drawing,{'duration': 789},0,medium,0,1733251380.076
1733251380.87,Stop Drawing,{'duration': 794},0,medium,1,1733251380.87
1733251382.093,Start Drawing,{},0,medium,1,1733251382.093
1733251383.304,Stop Drawing,{'duration': 1211},0,medium,1,1733251383.304
1733251383.929,Start Drawing,{},0,medium,1,1733251383.929
1733251385.35,Stop Drawing,{'duration': 1421},0,medium,1,1733251385.35
1733251385.35,Start Drawing,{},1,medium,1,1733251385.35
1733251386.457,Changed Line Width,{'lineWidth': 22},1,medium,1,1733251386.457
1733251388.355,Changed Color,{'color': '#000000'},1,medium,1,1733251388.355
1733251389.247,Start Drawing,{},1,medium,1,1733251389.247
1733251389.702,Stop Drawing,{'duration': 455},1,medium,1,1733251389.702
1733251396.717,Start Drawing,{},1,medium,0,1733251396.717
1733251396.717,Changed Color,{'color': '#00ff00'},1,medium,0,1733251396.717
1733251397.891,Stop Drawing,{'duration': 1174},1,medium,0,1733251397.891
1733251399.446,Start Drawing,{},1,medium,0,1733251399.446
1733251399.446,Start Drawing,{},1,medium,0,1733251399.446
1733251399.446,Stop Drawing,{'duration': 437},0,medium,0,1733251399.446
1733251401.097,Stop Drawing,{'duration': 1651},0,medium,0,1733251401.097
