timestamp,action,reward_assignment,context,arm_selection,log_timestamp
1733246282.767,Start Drawing,1,medium,1,1733246282.767
1733246283.527,Start Drawing,1,medium,1,1733246283.527
1733246284.25,Stop Drawing,1,medium,1,1733246284.25
1733246285.202,Start Drawing,1,medium,1,1733246285.202
1733246285.962,Stop Drawing,1,medium,1,1733246285.962
1733246286.441,Start Drawing,1,medium,1,1733246286.441
1733246287.003,Stop Drawing,1,medium,1,1733246287.003
1733246287.72,Changed Line Width,1,medium,1,1733246287.72
1733246287.72,Stop Drawing,0,medium,1,1733246287.72
1733246290.112,Changed Color,0,medium,1,1733246290.112
1733246291.132,Start Drawing,0,medium,1,1733246291.132
1733246291.804,Stop Drawing,0,medium,1,1733246291.804
1733246292.129,Start Drawing,0,medium,1,1733246292.129
1733246292.608,Stop Drawing,0,medium,1,1733246292.608
1733246294.131,Stop Drawing,0,medium,0,1733246294.131
1733246294.131,Start Drawing,1,medium,0,1733246294.131
1733246295.324,Stop Drawing,1,medium,0,1733246295.324
1733246295.97,Start Drawing,1,medium,0,1733246295.97
1733246296.983,Stop Drawing,1,medium,0,1733246296.983
1733246297.643,Start Drawing,1,medium,0,1733246297.643
1733246298.135,Stop Drawing,1,medium,0,1733246298.135
1733246298.574,Start Drawing,1,medium,0,1733246298.574
1733246298.971,Stop Drawing,1,medium,0,1733246298.971
1733246298.971,Start Drawing,1,medium,0,1733246298.971
1733246299.299,Start Drawing,1,medium,0,1733246299.299
1733246300.883,Stop Drawing,1,medium,0,1733246300.883
1733246302.044,Changed Line Width,1,medium,0,1733246302.044
1733246305.053,Start Drawing,1,medium,0,1733246305.053
1733246308.311,Stop Drawing,1,medium,0,1733246308.311
1733246309.26,Start Drawing,1,medium,0,1733246309.26
1733246310.117,Stop Drawing,1,medium,0,1733246310.117
1733246310.117,Changed Color,1,medium,0,1733246310.117
1733246312.512,Changed Color,1,medium,0,1733246312.512
1733246313.446,Stop Drawing,1,medium,0,1733246313.446
1733246313.745,Start Drawing,1,medium,0,1733246313.745
1733246314.855,Stop Drawing,0,medium,0,1733246314.855
1733246315.655,Changed Line Width,0,medium,0,1733246315.655
1733246320.109,Changed Color,0,medium,0,1733246320.109
1733246322.176,Start Drawing,0,medium,0,1733246322.176
1733246322.961,Stop Drawing,0,medium,0,1733246322.961
1733246323.529,Start Drawing,0,medium,0,1733246323.529
1733246324.428,Stop Drawing,0,medium,0,1733246324.428
1733246325.503,Start Drawing,1,medium,0,1733246325.503
1733246325.503,Stop Drawing,0,medium,0,1733246325.503
1733246326.588,Start Drawing,0,medium,0,1733246326.588
1733246327.777,Stop Drawing,0,medium,0,1733246327.777
