timestamp,action,reward_assignment,context,arm_selection,log_timestamp
1733176820.3,Start Drawing,1,high,1,1733176820.3
1733176820.408,Stop Drawing,0,medium,0,1733176820.408
1733176822.151,Start Drawing,1,medium,1,1733176822.151
1733176822.833,Stop Drawing,0,medium,1,1733176822.833
1733176823.531,Start Drawing,1,medium,0,1733176823.531
1733176824.198,Stop Drawing,0,medium,0,1733176824.198
1733176824.749,Start Drawing,1,medium,1,1733176824.749
1733176825.371,Stop Drawing,0,medium,1,1733176825.371
1733176825.767,Start Drawing,1,medium,1,1733176825.767
1733176826.299,Stop Drawing,0,medium,0,1733176826.299
1733176826.808,Start Drawing,1,medium,1,1733176826.808
1733176827.436,Stop Drawing,0,medium,1,1733176827.436
1733176827.991,Start Drawing,1,medium,0,1733176827.991
1733176828.412,Stop Drawing,0,medium,1,1733176828.412
1733176828.884,Start Drawing,1,medium,1,1733176828.884
1733176829.291,Stop Drawing,0,medium,1,1733176829.291
1733176829.933,Start Drawing,1,medium,0,1733176829.933
1733176830.061,Stop Drawing,0,medium,1,1733176830.061
1733176830.323,Start Drawing,1,medium,0,1733176830.323
1733176830.376,Stop Drawing,0,medium,1,1733176830.376
1733176830.804,Start Drawing,1,medium,0,1733176830.804
1733176831.282,Stop Drawing,0,medium,1,1733176831.282
1733176831.688,Start Drawing,1,medium,1,1733176831.688
1733176832.14,Stop Drawing,0,medium,0,1733176832.14
1733176832.594,Start Drawing,1,medium,1,1733176832.594
1733176832.965,Stop Drawing,0,medium,0,1733176832.965
1733176833.349,Start Drawing,1,medium,1,1733176833.349
1733176833.878,Stop Drawing,0,medium,1,1733176833.878
1733176834.25,Start Drawing,1,medium,0,1733176834.25
1733176834.654,Stop Drawing,0,medium,1,1733176834.654
1733176835.025,Start Drawing,1,medium,1,1733176835.025
1733176835.475,Stop Drawing,0,medium,0,1733176835.475
1733176835.904,Start Drawing,1,medium,0,1733176835.904
1733176836.388,Stop Drawing,0,medium,1,1733176836.388
1733176836.737,Start Drawing,1,medium,0,1733176836.737
1733176837.182,Stop Drawing,0,medium,0,1733176837.182
1733176837.525,Start Drawing,1,medium,0,1733176837.525
1733176837.832,Stop Drawing,0,medium,0,1733176837.832
1733176838.448,Start Drawing,1,medium,0,1733176838.448
1733176838.572,Stop Drawing,0,medium,1,1733176838.572
1733176843.885,Start Drawing,1,medium,0,1733176843.885
1733176844.205,Stop Drawing,0,medium,0,1733176844.205
1733176844.638,Start Drawing,1,medium,1,1733176844.638
1733176844.959,Stop Drawing,0,medium,1,1733176844.959
1733176845.453,Start Drawing,1,medium,0,1733176845.453
1733176845.945,Stop Drawing,0,medium,1,1733176845.945
1733176846.38,Start Drawing,1,medium,0,1733176846.38
1733176846.83,Stop Drawing,0,medium,0,1733176846.83
1733176847.3,Start Drawing,1,medium,1,1733176847.3
1733176847.729,Stop Drawing,0,medium,1,1733176847.729
1733176848.196,Start Drawing,1,medium,1,1733176848.196
1733176848.62,Stop Drawing,0,medium,0,1733176848.62
1733176849.121,Start Drawing,1,medium,1,1733176849.121
1733176849.569,Stop Drawing,0,medium,0,1733176849.569
1733176850.031,Start Drawing,1,medium,0,1733176850.031
1733176850.475,Stop Drawing,0,medium,0,1733176850.475
1733176850.939,Start Drawing,1,medium,0,1733176850.939
1733176851.388,Stop Drawing,0,medium,1,1733176851.388
1733176851.758,Start Drawing,1,medium,1,1733176851.758
1733176851.999,Stop Drawing,0,medium,0,1733176851.999
