timestamp,action,reward_assignment,context,arm_selection,log_timestamp
1733187896.145,Start Drawing,0,high,0,1733187896.145
1733187896.453,Stop Drawing,0,medium,1,1733187896.453
1733187897.745,Start Drawing,0,medium,1,1733187897.745
1733187898.404,Stop Drawing,0,medium,0,1733187898.404
1733187899.625,Start Drawing,0,medium,1,1733187899.625
1733187900.179,Stop Drawing,0,medium,1,1733187900.179
1733187900.709,Start Drawing,0,medium,1,1733187900.709
1733187901.88,Stop Drawing,0,medium,1,1733187901.88
1733187902.369,Start Drawing,0,medium,1,1733187902.369
1733187903.007,Stop Drawing,0,medium,0,1733187903.007
1733187903.625,Start Drawing,0,medium,0,1733187903.625
1733187904.337,Stop Drawing,0,medium,0,1733187904.337
1733187904.927,Start Drawing,0,medium,1,1733187904.927
1733187905.464,Stop Drawing,0,medium,1,1733187905.464
1733187906.401,Start Drawing,0,medium,0,1733187906.401
1733187907.136,Stop Drawing,0,medium,1,1733187907.136
1733187908.057,Start Drawing,0,medium,0,1733187908.057
1733187908.791,Stop Drawing,0,medium,1,1733187908.791
1733187909.396,Start Drawing,0,medium,1,1733187909.396
1733187909.818,Stop Drawing,0,medium,0,1733187909.818
1733187911.43,Start Drawing,0,medium,1,1733187911.43
1733187911.956,Stop Drawing,0,medium,1,1733187911.956
1733187912.523,Start Drawing,0,medium,0,1733187912.523
1733187913.328,Stop Drawing,0,medium,0,1733187913.328
1733187913.696,Start Drawing,0,medium,1,1733187913.696
1733187914.317,Stop Drawing,0,medium,1,1733187914.317
1733187914.61,Start Drawing,0,medium,0,1733187914.61
1733187915.164,Stop Drawing,0,medium,0,1733187915.164
1733187915.557,Start Drawing,0,medium,1,1733187915.557
1733187916.0,Stop Drawing,0,medium,1,1733187916.0
