timestamp,log_timestamp,Action_T_Rews,ActionNow,additionalData,ObservedReward,Context,ContextFeatures,ChosenArm
1733338031.036,1733338031.036,Continuous Drawing,,{'duration': 501},1,medium,[0.5],0
1733338031.036,1733338031.036,,Continuous Drawing,{'duration': 501},1,medium,[0.5],0
1733338031.536,1733338031.536,,Continuous Drawing,{'duration': 1001},1,medium,[0.5],0
1733338031.571,1733338031.571,,Stop Drawing,{'duration': 1036},1,medium,[0.5],0
1733338030.535,1733338030.535,Start Drawing,,{},1,medium,[0.5],0
1733338031.571,1733338031.571,,Start Drawing,{},1,medium,[0.5],0
1733338036.563,1733338036.563,,Start Drawing,{},1,medium,[0.5],0
1733338037.065,1733338037.065,,Continuous Drawing,{'duration': 502},1,medium,[0.5],0
1733338037.565,1733338037.565,,Continuous Drawing,{'duration': 1002},1,medium,[0.5],0
1733338037.969,1733338037.969,,Stop Drawing,{'duration': 1406},1,medium,[0.5],0
1733338038.634,1733338038.634,,Start Drawing,{},1,medium,[0.5],0
1733338039.11,1733338039.11,,Stop Drawing,{'duration': 476},1,medium,[0.5],0
1733338039.81,1733338039.81,,Start Drawing,{},1,medium,[0.5],0
1733338040.094,1733338040.094,,Stop Drawing,{'duration': 284},1,medium,[0.5],0
1733338040.501,1733338040.501,,Start Drawing,{},1,medium,[0.5],0
1733338041.156,1733338041.156,Start Drawing,,{},1,medium,[0.5],1
1733338041.156,1733338041.156,,Start Drawing,{},1,medium,[0.5],1
1733338041.443,1733338041.443,,Stop Drawing,{'duration': 287},1,medium,[0.5],1
1733338041.772,1733338041.772,,Start Drawing,{},1,medium,[0.5],1
1733338042.185,1733338042.185,,Stop Drawing,{'duration': 413},1,medium,[0.5],1
1733338042.616,1733338042.616,,Start Drawing,{},1,medium,[0.5],1
1733338043.118,1733338043.118,,Continuous Drawing,{'duration': 502},1,medium,[0.5],1
1733338043.37,1733338043.37,,Stop Drawing,{'duration': 754},1,medium,[0.5],1
1733338044.887,1733338044.887,,Start Drawing,{},1,medium,[0.5],1
1733338045.389,1733338045.389,,Continuous Drawing,{'duration': 502},1,medium,[0.5],1
1733338045.889,1733338045.889,,Continuous Drawing,{'duration': 1002},1,medium,[0.5],1
1733338046.143,1733338046.143,,Stop Drawing,{'duration': 1256},1,medium,[0.5],1
1733338046.715,1733338046.715,,Start Drawing,{},1,medium,[0.5],1
1733338040.834,1733338040.834,Stop Drawing,,{'duration': 333},0,medium,[0.5],1
1733338046.715,1733338046.715,,Stop Drawing,{'duration': 333},0,medium,[0.5],1
1733338047.217,1733338047.217,,Continuous Drawing,{'duration': 502},0,medium,[0.5],1
1733338047.717,1733338047.717,,Continuous Drawing,{'duration': 1002},0,medium,[0.5],1
1733338048.247,1733338048.247,,Continuous Drawing,{'duration': 1502},0,medium,[0.5],1
1733338048.247,1733338048.247,,Stop Drawing,{'duration': 1532},0,medium,[0.5],1
1733338049.129,1733338049.129,,Start Drawing,{},0,medium,[0.5],1
1733338049.631,1733338049.631,,Continuous Drawing,{'duration': 502},0,medium,[0.5],1
1733338050.131,1733338050.131,,Continuous Drawing,{'duration': 1002},0,medium,[0.5],1
1733338050.311,1733338050.311,,Stop Drawing,{'duration': 1182},0,medium,[0.5],1
1733338051.348,1733338051.348,Continuous Drawing,,{'duration': 501},1,medium,[0.5],0
1733338051.348,1733338051.348,,Continuous Drawing,{'duration': 501},1,medium,[0.5],0
1733338050.847,1733338050.847,Start Drawing,,{},1,medium,[0.5],0
1733338051.348,1733338051.348,,Start Drawing,{},1,medium,[0.5],0
1733338051.879,1733338051.879,,Continuous Drawing,{'duration': 1002},1,medium,[0.5],0
1733338051.879,1733338051.879,,Stop Drawing,{'duration': 1032},1,medium,[0.5],0
1733338054.182,1733338054.182,,Start Drawing,{},1,medium,[0.5],0
